,0
0,CC(C)C[C@H](N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C=O
1,NC(=N)NCCC[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O
2,CC(C)C[C@H](N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)c1nccs1
3,CC(C)C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C=O
4,NC(=N)NCCC[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O
5,CC(C)C[C@H](N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O
6,CC(C)C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C=O
7,NC(=N)NCCC[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C=O
8,NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(O)=O
9,CC(C)C[C@H](N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C=O
10,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)OCc1ccccc1)C(O)=O
11,NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(O)=O
12,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)OCc1ccccc1)C(N)=O
13,NC(=N)NCCC[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1)C(=O)N[C@@H](Cc1ccccc1)C(O)=O
14,NC(=N)NCCC[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1)C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1
15,NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C=O
16,CC(C)C[C@H](N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(O)=O
17,NC(=N)NCCC[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1)C(=O)N1CCC[C@H]1C(=O)N1CCCC1
18,NC(=N)NCCC[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1)C(O)=O
19,NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1)C(O)=O
20,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCN(C)CC1
21,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)C(F)(F)F
